split_id,seq1_time,c0_c1_copy_time,seq2_time,seq_fc_time,mb_device_0_start_time,mb_device_0_end_time,c0_c1_cp_start_time,c0_c1_cp_end_time,mb_device_1_start_time,mb_device_1_end_time,mb_fc_start_time,mb_fc_end_time,mb_device_0_start_datetime,mb_device_0_end_datetime,c0_c1_cp_start_datetime,c0_c1_cp_end_datetime,mb_device_1_start_datetime,mb_device_1_end_datetime,mb_fc_start_datetime,mb_fc_end_datetime
0,0.008278608322143555,8.463859558105469e-05,0.009846925735473633,0.00017189979553222656,1581696745.2318609,1581696745.2401395,1581696745.2401447,1581696745.2402294,1581696745.2402349,1581696745.2500818,1581696745.2500858,1581696745.2502577,2020-02-14 11:12:25.231861,2020-02-14 11:12:25.240141,2020-02-14 11:12:25.240145,2020-02-14 11:12:25.240230,2020-02-14 11:12:25.240234,2020-02-14 11:12:25.250083,2020-02-14 11:12:25.250086,2020-02-14 11:12:25.250258
1,0.007731199264526367,7.677078247070312e-05,0.009406089782714844,0.00013566017150878906,1581696745.2503276,1581696745.2580588,1581696745.2580628,1581696745.2581396,1581696745.258143,1581696745.267549,1581696745.267553,1581696745.2676888,2020-02-14 11:12:25.250328,2020-02-14 11:12:25.258060,2020-02-14 11:12:25.258063,2020-02-14 11:12:25.258140,2020-02-14 11:12:25.258143,2020-02-14 11:12:25.267550,2020-02-14 11:12:25.267553,2020-02-14 11:12:25.267690
2,0.0076906681060791016,7.128715515136719e-05,0.009350061416625977,0.00013017654418945312,1581696745.2677493,1581696745.27544,1581696745.275444,1581696745.2755153,1581696745.2755187,1581696745.2848687,1581696745.2848728,1581696745.285003,2020-02-14 11:12:25.267749,2020-02-14 11:12:25.275441,2020-02-14 11:12:25.275444,2020-02-14 11:12:25.275516,2020-02-14 11:12:25.275518,2020-02-14 11:12:25.284870,2020-02-14 11:12:25.284872,2020-02-14 11:12:25.285004
3,0.007691144943237305,7.009506225585938e-05,0.009264469146728516,0.0001308917999267578,1581696745.285055,1581696745.292746,1581696745.2927501,1581696745.2928202,1581696745.2928238,1581696745.3020883,1581696745.3020923,1581696745.3022232,2020-02-14 11:12:25.285055,2020-02-14 11:12:25.292747,2020-02-14 11:12:25.292750,2020-02-14 11:12:25.292821,2020-02-14 11:12:25.292824,2020-02-14 11:12:25.302089,2020-02-14 11:12:25.302092,2020-02-14 11:12:25.302224
4,0.007657766342163086,7.176399230957031e-05,0.009365081787109375,0.0001323223114013672,1581696745.3022766,1581696745.3099344,1581696745.3099382,1581696745.31001,1581696745.3100135,1581696745.3193786,1581696745.3193827,1581696745.319515,2020-02-14 11:12:25.302277,2020-02-14 11:12:25.309935,2020-02-14 11:12:25.309938,2020-02-14 11:12:25.310010,2020-02-14 11:12:25.310013,2020-02-14 11:12:25.319380,2020-02-14 11:12:25.319383,2020-02-14 11:12:25.319516
5,0.00771021842956543,6.937980651855469e-05,0.009388208389282227,0.0001308917999267578,1581696745.3196516,1581696745.3273618,1581696745.327366,1581696745.3274355,1581696745.327439,1581696745.3368273,1581696745.3368316,1581696745.3369625,2020-02-14 11:12:25.319652,2020-02-14 11:12:25.327363,2020-02-14 11:12:25.327366,2020-02-14 11:12:25.327436,2020-02-14 11:12:25.327439,2020-02-14 11:12:25.336829,2020-02-14 11:12:25.336831,2020-02-14 11:12:25.336963
6,0.00766444206237793,7.843971252441406e-05,0.009374141693115234,0.0001308917999267578,1581696745.337014,1581696745.3446784,1581696745.3446825,1581696745.344761,1581696745.3447645,1581696745.3541386,1581696745.3541427,1581696745.3542736,2020-02-14 11:12:25.337014,2020-02-14 11:12:25.344680,2020-02-14 11:12:25.344682,2020-02-14 11:12:25.344761,2020-02-14 11:12:25.344764,2020-02-14 11:12:25.354140,2020-02-14 11:12:25.354142,2020-02-14 11:12:25.354275
7,0.00765228271484375,6.985664367675781e-05,0.009345531463623047,0.00012922286987304688,1581696745.3543255,1581696745.3619778,1581696745.3619819,1581696745.3620517,1581696745.3620555,1581696745.371401,1581696745.3714054,1581696745.3715346,2020-02-14 11:12:25.354325,2020-02-14 11:12:25.361979,2020-02-14 11:12:25.361982,2020-02-14 11:12:25.362052,2020-02-14 11:12:25.362055,2020-02-14 11:12:25.371402,2020-02-14 11:12:25.371405,2020-02-14 11:12:25.371536
8,0.007653474807739258,7.081031799316406e-05,0.00933218002319336,0.00013971328735351562,1581696745.3715863,1581696745.3792398,1581696745.3792439,1581696745.3793147,1581696745.379318,1581696745.3886502,1581696745.3886542,1581696745.388794,2020-02-14 11:12:25.371586,2020-02-14 11:12:25.379241,2020-02-14 11:12:25.379244,2020-02-14 11:12:25.379315,2020-02-14 11:12:25.379318,2020-02-14 11:12:25.388651,2020-02-14 11:12:25.388654,2020-02-14 11:12:25.388795
9,0.007627010345458984,6.914138793945312e-05,0.009322881698608398,0.00013208389282226562,1581696745.388846,1581696745.396473,1581696745.396477,1581696745.3965461,1581696745.3965495,1581696745.4058723,1581696745.4058764,1581696745.4060085,2020-02-14 11:12:25.388846,2020-02-14 11:12:25.396474,2020-02-14 11:12:25.396477,2020-02-14 11:12:25.396547,2020-02-14 11:12:25.396549,2020-02-14 11:12:25.405873,2020-02-14 11:12:25.405876,2020-02-14 11:12:25.406009
