split_id,seq1_time,c0_c1_copy_time,seq2_time,seq_fc_time,mb_device_0_start_time,mb_device_0_end_time,c0_c1_cp_start_time,c0_c1_cp_end_time,mb_device_1_start_time,mb_device_1_end_time,mb_fc_start_time,mb_fc_end_time,mb_device_0_start_datetime,mb_device_0_end_datetime,c0_c1_cp_start_datetime,c0_c1_cp_end_datetime,mb_device_1_start_datetime,mb_device_1_end_datetime,mb_fc_start_datetime,mb_fc_end_datetime
0,0.01018214225769043,9.34600830078125e-05,0.01356816291809082,0.0004343986511230469,1581696707.4756808,1581696707.485863,1581696707.4858677,1581696707.4859612,1581696707.485967,1581696707.499535,1581696707.4995391,1581696707.4999735,2020-02-14 11:11:47.475681,2020-02-14 11:11:47.485864,2020-02-14 11:11:47.485868,2020-02-14 11:11:47.485962,2020-02-14 11:11:47.485967,2020-02-14 11:11:47.499536,2020-02-14 11:11:47.499539,2020-02-14 11:11:47.499974
1,0.007911205291748047,9.34600830078125e-05,0.00962376594543457,0.00014281272888183594,1581696707.5000548,1581696707.507966,1581696707.5079703,1581696707.5080638,1581696707.5080676,1581696707.5176914,1581696707.5176954,1581696707.5178382,2020-02-14 11:11:47.500055,2020-02-14 11:11:47.507967,2020-02-14 11:11:47.507970,2020-02-14 11:11:47.508064,2020-02-14 11:11:47.508067,2020-02-14 11:11:47.517693,2020-02-14 11:11:47.517695,2020-02-14 11:11:47.517839
2,0.008664131164550781,7.510185241699219e-05,0.009601593017578125,0.00012922286987304688,1581696707.517896,1581696707.52656,1581696707.5265644,1581696707.5266395,1581696707.5266428,1581696707.5362444,1581696707.5362487,1581696707.536378,2020-02-14 11:11:47.517896,2020-02-14 11:11:47.526561,2020-02-14 11:11:47.526564,2020-02-14 11:11:47.526640,2020-02-14 11:11:47.526642,2020-02-14 11:11:47.536246,2020-02-14 11:11:47.536248,2020-02-14 11:11:47.536379
3,0.008556365966796875,7.700920104980469e-05,0.009570837020874023,0.00013756752014160156,1581696707.5364347,1581696707.544991,1581696707.544995,1581696707.545072,1581696707.5450757,1581696707.5546465,1581696707.5546505,1581696707.554788,2020-02-14 11:11:47.536435,2020-02-14 11:11:47.544992,2020-02-14 11:11:47.544995,2020-02-14 11:11:47.545073,2020-02-14 11:11:47.545075,2020-02-14 11:11:47.554648,2020-02-14 11:11:47.554650,2020-02-14 11:11:47.554789
4,0.008658647537231445,7.605552673339844e-05,0.009600162506103516,0.0001323223114013672,1581696707.554842,1581696707.5635006,1581696707.563505,1581696707.563581,1581696707.5635843,1581696707.5731845,1581696707.5731885,1581696707.5733209,2020-02-14 11:11:47.554842,2020-02-14 11:11:47.563502,2020-02-14 11:11:47.563505,2020-02-14 11:11:47.563581,2020-02-14 11:11:47.563584,2020-02-14 11:11:47.573186,2020-02-14 11:11:47.573188,2020-02-14 11:11:47.573322
5,0.00865316390991211,7.390975952148438e-05,0.009665727615356445,0.00013327598571777344,1581696707.5733743,1581696707.5820274,1581696707.5820317,1581696707.5821056,1581696707.5821092,1581696707.591775,1581696707.591779,1581696707.5919123,2020-02-14 11:11:47.573374,2020-02-14 11:11:47.582029,2020-02-14 11:11:47.582032,2020-02-14 11:11:47.582106,2020-02-14 11:11:47.582109,2020-02-14 11:11:47.591776,2020-02-14 11:11:47.591779,2020-02-14 11:11:47.591913
6,0.008625268936157227,7.534027099609375e-05,0.009653568267822266,0.00013136863708496094,1581696707.5919702,1581696707.6005955,1581696707.6005995,1581696707.6006749,1581696707.6006784,1581696707.610332,1581696707.610336,1581696707.6104674,2020-02-14 11:11:47.591970,2020-02-14 11:11:47.600597,2020-02-14 11:11:47.600599,2020-02-14 11:11:47.600675,2020-02-14 11:11:47.600678,2020-02-14 11:11:47.610333,2020-02-14 11:11:47.610336,2020-02-14 11:11:47.610468
7,0.009182214736938477,8.225440979003906e-05,0.009685516357421875,0.0001327991485595703,1581696707.61052,1581696707.619702,1581696707.6197064,1581696707.6197886,1581696707.6197925,1581696707.629478,1581696707.6294818,1581696707.6296146,2020-02-14 11:11:47.610520,2020-02-14 11:11:47.619703,2020-02-14 11:11:47.619706,2020-02-14 11:11:47.619789,2020-02-14 11:11:47.619792,2020-02-14 11:11:47.629479,2020-02-14 11:11:47.629482,2020-02-14 11:11:47.629615
8,0.009282588958740234,9.632110595703125e-05,0.0095672607421875,0.0001418590545654297,1581696707.629755,1581696707.6390376,1581696707.6390424,1581696707.6391387,1581696707.6391425,1581696707.6487098,1581696707.648714,1581696707.648856,2020-02-14 11:11:47.629756,2020-02-14 11:11:47.639039,2020-02-14 11:11:47.639042,2020-02-14 11:11:47.639139,2020-02-14 11:11:47.639142,2020-02-14 11:11:47.648711,2020-02-14 11:11:47.648714,2020-02-14 11:11:47.648857
9,0.008617401123046875,7.605552673339844e-05,0.009569644927978516,0.0001327991485595703,1581696707.6489093,1581696707.6575267,1581696707.657531,1581696707.657607,1581696707.6576107,1581696707.6671803,1581696707.6671844,1581696707.6673172,2020-02-14 11:11:47.648909,2020-02-14 11:11:47.657528,2020-02-14 11:11:47.657531,2020-02-14 11:11:47.657608,2020-02-14 11:11:47.657610,2020-02-14 11:11:47.667181,2020-02-14 11:11:47.667184,2020-02-14 11:11:47.667318
